,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
167240,84014,"Alexander Michael ""Alex"" Naddour",M,25,170,70,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
167469,84138,Nikita Vladimirovich Nagorny,M,19,166,67,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
187216,94094,Eleftherios Petrounias,M,25,164,62,Greece,GRE,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Gold
199788,100351,Ri Se-Gwang,M,31,155,54,North Korea,PRK,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Gold
218755,109869,Kenzo Shirai,M,19,162,51,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Gold
218757,109869,Kenzo Shirai,M,19,162,51,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Bronze
223676,112342,Louis Antoine Smith,M,27,184,76,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,Silver
230629,115758,Ivan Alekseyevich Stretovich,M,19,170,59,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
236062,118359,Yusuke Tanaka,M,26,166,58,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Gold
245736,123056,Kohei Uchimura,M,27,160,54,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,Gold
245737,123056,Kohei Uchimura,M,27,160,54,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Gold
251779,126096,Oleh Yuriyovych Verniaiev,M,22,161,55,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,Silver
251783,126096,Oleh Yuriyovych Verniaiev,M,22,161,55,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,Gold
259829,130071,Max Antony Whitlock,M,23,167,56,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
259831,130071,Max Antony Whitlock,M,23,167,56,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,Gold
259835,130071,Max Antony Whitlock,M,23,167,56,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
261563,130874,Nile Wilson,M,20,166,60,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
264454,132340,Koji Yamamuro,M,27,159,58,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Gold
266171,133174,You Hao,M,24,162,60,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Bronze
267709,133931,Arthur Nabarrete Zanetti,M,26,156,61,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Silver
268713,134433,Zhang Chenglong,M,27,173,65,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Bronze
